Rating,Date
6.9,16/12/1999
6,02/03/2016
5.6,28/03/2003
7.1,07/09/2016
6.3,20/03/2013
8.4,16/07/2008
6.8,06/11/2019
5.6,08/03/2011
5.3,25/12/2019
6.3,26/11/2003
6.1,25/12/2003
5.5,22/10/1999
5.7,12/12/2014
6.4,04/02/1998
6.3,07/06/2006
6.4,12/09/2008
6.7,09/09/2005
7.2,13/11/2015
7.1,25/09/1998
6.6,09/01/2001
7,28/03/1997
5.6,27/08/2004
6,07/09/2007
5.3,01/12/2016
6,30/08/2000
5.9,18/09/2009
6.4,25/07/2007
5.8,13/10/2011
5.7,15/09/2006
4.2,01/09/2006
5.8,27/09/2012
6.8,04/11/2016
7.3,17/03/2000
6.2,02/10/2002
5.2,22/01/2014
7.2,17/03/2005
6.8,16/12/2010
7.2,09/02/2007
5.7,01/01/1993
3.3,01/01/2007
0,03/10/2006
4.5,21/11/1992
