Rating,Date
7.5,25/07/2019
7.8,01/11/2019
8.7,14/03/1972
5.4,21/11/2002
7.6,05/12/1973
6.3,31/01/2003
7.4,28/10/1999
7.5,15/09/1992
7.5,27/02/1997
7.7,23/12/1992
7.8,11/08/1975
5.6,22/12/2017
6.9,16/12/1999
6.9,24/05/2002
6.7,06/06/2007
7.8,10/11/1993
7.4,17/10/1997
7.4,24/12/1990
6.9,11/10/1996
8.1,08/12/1983
8.5,20/12/1974
7.8,15/12/1995
4.1,11/11/2011
5.3,26/03/2014
5.5,05/02/2016
0,17/01/2014
0,28/02/2006
7.5,01/01/2005
0,20/02/2020
5,01/01/1994
10,19/06/2007
5,31/03/1998
5.8,14/02/2007
7,25/04/2006
7.8,20/09/2014
6.8,01/06/1971
5.5,03/06/2015
5.6,25/12/1985
6.9,08/12/2017
7.1,11/04/1973
6.3,06/05/1980
5.8,23/08/2002
6,07/10/2005
6,31/01/2013
6.8,03/12/2004
7,14/04/2010
6.6,18/10/1991
5.9,11/09/2008
6.1,05/04/1990
5.1,04/11/2011
3.6,01/08/2003
6.1,16/02/1996
6.7,19/03/2015
6.7,15/09/1989
7.1,19/10/1979
6.4,07/04/2018
7,16/08/2002
6.6,01/01/1990
7.8,12/07/1990
6.9,04/09/1997
7.2,05/05/2017
6.4,01/05/2007
7.8,27/11/2019
6.8,20/12/2013
7.4,10/08/2013
6.3,01/11/2017
6.1,27/09/1977
4.1,03/10/2013
5.8,22/10/1995
7.3,16/01/2009
5.9,18/06/1982
7.2,12/07/2012
7.2,02/09/2000
7.5,09/09/2012
5.9,24/03/2013
6.5,10/05/1991
7,13/07/1969
