Rating,Date
5.4,17/01/1992
6.8,08/08/2008
7.3,09/09/1991
5.1,01/01/2002
6,07/03/2003
5.9,31/08/2002
7.5,20/06/1997
7.4,15/11/2013
8.5,10/09/1994
6.9,13/08/1982
6.2,30/07/1993
6.6,28/09/2016
7.1,13/05/1984
6.4,24/04/1981
5.2,01/01/2002
0,14/03/1997
5.9,26/02/1999
7.6,18/08/1995
6,09/10/2015
7.1,26/04/2015
7,01/03/1996
6.4,01/10/1985
6.3,07/03/2019
6.9,12/09/2010
5,18/06/2008
6,11/06/1997
6,28/12/2008
1.5,23/01/2019
6.7,06/11/1987
4.9,14/04/2003
5.8,22/05/1999
6.3,09/10/2011
5.2,01/01/2004
5.7,09/03/1984
5.5,01/01/1994
6.5,01/09/1995
6.5,23/08/1996
5.6,11/07/1997
5.6,09/03/1990
6,09/02/2000
7.3,26/08/1983
6.1,27/08/1993
0,23/05/1999
5.5,13/07/1996
0,30/08/2013
0,01/01/1987
0,01/01/1996
0,15/06/1990
0,19/10/2014
0,28/10/2010
0,01/01/1992
6,07/04/1990
7,26/04/1992
0,23/01/1989
5,17/09/2011
0,27/07/2002
0,24/04/2019
5.3,01/01/1996
0,07/01/1996
5,01/10/1996
5,26/09/1993
7,20/08/2002
6,13/01/2012
6.6,16/10/2012
6.3,31/10/1999
5.3,08/03/2019
6.5,04/11/1998
5.6,22/08/1993
5.8,01/10/1997
0,09/09/2017
