Rating,Date
6.5,16/01/2019
7.5,02/05/1997
8.5,10/09/1994
6.9,31/10/2019
7.3,26/09/2016
7.1,19/05/1995
6.3,20/08/2014
7.9,06/08/1999
6.4,18/02/2000
5.1,15/07/2016
6.6,06/04/2007
6.3,14/11/1997
5.6,22/10/2015
4.8,22/08/2014
5.5,21/07/2017
7.7,24/05/2012
6.5,09/12/2004
4.4,16/01/2015
5.4,27/06/2003
6.8,26/09/2012
6.7,13/10/2010
6.6,26/01/2019
6.5,20/06/2007
5.9,02/03/2018
7.4,01/04/2005
6.2,08/08/2012
5.2,06/02/2013
6.7,01/07/1998
6.1,03/08/2010
7.1,13/11/2000
6.8,02/07/1990
5.2,06/12/2019
6.5,18/07/2013
7.7,15/07/1988
7.6,29/12/1995
5.7,01/07/2016
6.4,17/05/2006
6.3,10/03/2005
6.4,01/03/2006
6,24/09/2009
0,13/11/2006
0,08/12/1980
0,19/06/2001
0,28/03/2000
0,16/10/2012
4.3,01/01/1989
0,27/04/2006
6,28/05/2002
5.9,21/03/2013
3.3,01/01/2007
7.3,07/10/2004
7,20/08/2002
7.3,27/12/1986
6,17/02/1987
8.6,27/11/2018
8,20/12/2016
6.7,21/09/2011
8,22/11/2006
5,01/06/2002
0,22/05/2020
5.8,27/08/2004
5.8,17/10/2006
7.3,01/11/2011
6.5,05/11/1996
6.4,17/07/1998
5.3,03/10/1980
5.8,01/11/1991
6.2,03/04/1998
5.9,04/02/1993
6.3,15/02/2002
6.2,07/07/2000
5.5,26/03/2013
4.7,30/09/2019
5.4,26/02/2010
5.7,13/06/2003
5.8,12/04/2007
6.7,30/07/1992
7.5,24/02/2006
5.2,14/12/1990
5.9,27/03/1987
5.4,19/08/1994
6.1,20/09/2019
5.6,07/04/2004
6,12/10/1989
5.1,04/04/2012
6.3,06/11/1998
6,09/12/1995
6.7,11/12/1991
6,12/01/2018
4.6,18/12/2015
5.7,23/05/1991
5,31/08/2018
6.3,12/10/2001
6.6,07/03/2003
4.8,17/10/2011
5.6,31/08/2012
6.1,13/10/1999
5.4,13/02/1999
5.8,04/03/2011
7.2,15/10/2012
5.6,15/09/1989
6.6,29/07/2018
7.4,19/08/1981
5.8,29/04/1988
6.9,01/08/2014
6.9,23/12/1994
6.1,16/05/2006
5.6,21/12/1990
5.4,17/10/2008
3.9,26/10/2018
5.2,08/06/2017
5.3,22/06/2012
5.8,17/09/1993
5.8,15/06/2007
5,22/07/1994
6.3,20/09/1996
6,17/01/2008
5.5,19/04/1991
6.6,27/01/2006
6.2,15/10/2006
7.2,03/04/1992
7.4,08/12/1982
6.6,15/12/1996
6.1,10/09/2010
5,08/12/2011
7.2,07/02/2008
