Rating,Date
7.8,13/11/2019
5.9,15/06/2000
7,02/12/2016
0,28/10/2021
6.8,05/03/1993
6.5,06/12/2013
6.6,25/11/2018
7.2,21/12/1994
7.3,17/12/2010
7.5,09/12/1987
6.6,01/07/2009
6,12/07/2002
7.1,25/12/2018
6.7,01/10/2007
6.8,22/12/2017
7.1,06/09/2007
7.5,09/02/2004
6.8,12/12/2013
6.9,14/06/1995
5.8,03/12/2014
7.3,11/12/2015
7.3,13/04/2000
6,20/05/2009
8.2,19/10/2006
7.7,16/07/2012
7.7,10/06/2005
8.4,16/07/2008
7,06/12/2002
6.4,11/09/2005
7.4,15/12/2011
7,01/12/2009
3,11/08/1999
9,01/01/2005
6.5,16/07/2012
6.8,15/07/2008
5.8,07/12/1986
4.2,14/11/1999
5.4,04/10/1991
5.7,30/08/1997
6,09/07/1999
6.6,23/02/1994
7.6,05/10/2017
5.3,08/11/1996
6.3,08/06/1990
6.3,01/07/1987
6.6,10/04/1992
7,23/10/1998
7.4,05/10/1989
6.9,09/09/2006
6,07/03/2003
6.1,17/10/1996
6.5,25/12/2005
5.8,18/04/2001
6.5,25/04/1999
5.6,08/02/2015
7.6,15/07/2008
