Rating,Date
7.6,04/05/1972
6,23/06/2017
6.7,18/12/1996
6.1,18/05/2018
6.6,20/09/1996
6.4,20/12/1991
7.7,10/06/1975
6.3,09/05/2019
7.3,25/12/1981
7.1,17/12/1973
6.9,02/08/1978
6.2,14/12/2005
7.2,30/01/1987
6,20/07/2014
6,05/09/2014
5.8,25/04/2013
5.9,12/11/2015
6.2,08/12/1995
7.4,20/11/2011
6.4,26/02/1999
5.1,20/04/2012
4.4,14/12/2007
4,01/12/1989
6,01/01/2001
5.1,03/03/2002
5.8,04/10/1992
6,12/06/1994
5.5,27/05/2001
5.5,31/12/1971
7.8,12/07/1990
6.4,17/06/1976
4.5,26/09/2008
6.4,12/12/1986
6.7,22/01/1982
5.4,12/08/1970
6.9,19/10/1977
6.7,26/12/1984
6.4,04/11/1988
5.2,19/10/1984
5.4,01/01/2006
4.4,27/04/2001
5.3,16/02/2000
0,01/01/2013
6.2,17/01/2008
6,02/02/2007
6.6,12/12/2003
7.9,25/04/1979
6.2,17/09/1987
7.3,02/05/1993
6.3,10/11/2010
7.8,19/04/1977
7.4,24/12/1990
7,16/06/2016
8.5,20/12/1974
8.7,14/03/1972
5.1,05/11/1993
6.8,02/07/1998
4.8,04/01/1997
5.5,03/11/2003
5,18/02/1976
