Rating,Date
0,24/05/1982
0,16/01/2009
7,21/04/2009
4,06/04/1991
6.5,01/01/1997
6,09/09/2008
7,01/01/1993
6.5,01/02/1984
4,01/01/1984
0,10/08/1991
0,01/04/1989
0,31/12/2000
5,21/12/1999
5,30/05/1994
6,25/08/1996
6.3,01/01/2014
7,20/08/2002
6.6,04/01/1998
4,27/11/1998
6,01/01/2003
6.3,01/01/1984
0,13/01/1988
0,02/01/1978
5.5,13/07/1996
4,27/01/1988
4.5,01/01/1997
7,29/10/2000
6.7,07/09/1990
6.6,06/10/1995
7.2,08/03/1985
5.8,12/04/2019
6.7,13/04/1995
6.9,27/02/1987
7.2,19/04/2014
6.6,02/06/1995
6.6,18/09/1992
6.2,01/10/1993
6.3,11/10/2002
7.3,14/04/1989
6.2,11/09/1996
5.3,10/02/1989
6.5,20/10/2015
6.9,13/08/1982
4.9,11/04/1997
7.2,21/12/1994
6.9,13/12/1996
7.5,22/01/2004
8.5,10/09/1994
6.5,01/09/1995
5.9,06/07/1999
6.5,23/09/2000
4.3,10/06/2005
5.8,30/10/1983
5.7,27/01/1999
5.7,02/05/1999
6,16/12/1988
5.4,14/08/1987
3,01/01/2000
6.9,04/09/1997
5.4,13/09/1987
6,16/11/2001
6.7,12/10/2001
5.6,10/01/1993
7.4,14/10/1992
5.6,26/06/2006
7.1,09/10/2003
5.8,29/01/2000
5,10/11/1993
5.3,10/09/2004
6.5,28/09/1984
4.9,01/08/2001
6.7,18/01/1985
6,01/01/1994
5.9,11/09/1997
6.5,13/09/1996
4.9,11/04/1997
6.7,13/05/1992
4.8,10/06/2011
4.6,05/06/2015
6.3,07/09/1985
