Rating,Date
0,09/02/1986
0,01/01/1987
0,12/04/2012
0,24/10/2018
9,01/08/2017
0,01/01/1987
0,12/07/1991
6.5,03/06/2015
5,22/11/2005
6,18/09/2000
6.6,01/01/1998
4,01/10/1982
0,15/03/2012
3.8,01/01/1992
8,22/12/1988
5,13/01/1991
5.9,16/09/1989
7.5,06/12/2011
6,15/05/1988
4.8,24/04/2009
6.6,08/02/2001
4.3,08/09/2003
7.5,09/09/1993
6.2,20/06/2018
7.1,26/01/2017
6.9,15/05/1998
5.9,11/03/2011
5.7,14/08/2013
5.1,09/01/2009
5.2,03/04/1998
6.6,16/09/2011
6.4,28/09/1990
5.7,19/11/2009
6.4,25/07/1997
6.1,13/09/1993
6,07/04/2016
7,29/08/2012
6.1,27/09/2019
5.5,22/11/2019
7.4,13/11/1992
7.7,20/12/1991
6.8,25/05/2011
6.7,11/01/2010
4.5,27/06/2019
5.8,30/01/2014
7.3,22/11/2017
6.7,16/08/2017
6.4,19/10/2018
6.8,04/11/2009
6.9,24/10/1986
7.3,13/04/2002
5.9,11/10/2005
5.9,25/12/1999
6.9,16/10/1983
6.5,26/02/1989
5.4,24/09/2006
5.5,01/01/1988
5.4,01/01/2003
5.4,01/01/2001
5.8,11/05/2010
6.2,21/08/2018
0,31/12/2020
7,17/04/1987
5.7,13/10/1995
5.7,12/12/2014
0,16/07/2021
4.8,19/09/2019
6,24/06/2014
6.7,09/08/1996
0,31/12/2020
7.4,08/02/1991
7,14/09/1990
6.7,13/10/2000
7.1,16/12/1994
7.1,20/01/1995
5.3,14/11/2011
6.2,02/12/2016
7.2,22/11/2002
6.2,15/03/2015
7.3,26/06/2014
7.7,16/07/2012
7.5,02/05/1997
7.6,28/06/2007
7.7,10/06/2005
7.8,16/11/2005
8,31/05/2004
8.4,16/07/2008
8.1,07/07/2011
8.3,14/09/1994
