Rating,Date
5.6,04/09/1999
6.9,15/09/1995
6.9,15/09/1995
6.4,10/12/1991
6.1,25/01/1990
6,19/03/1993
6.1,10/08/1990
5.5,15/02/1980
7.2,02/10/1973
6.6,13/09/2001
5.7,18/03/1994
7.3,12/08/1988
6.1,30/07/1993
6.9,20/05/2015
5.8,09/12/2016
6.4,20/04/2000
5.4,04/03/2005
6.7,15/08/1997
5.3,10/11/2000
6.2,13/12/2006
6.7,28/05/1992
7.4,19/05/1993
7.5,24/05/1991
5,11/12/2015
7.9,23/03/2018
7,19/01/1996
7.7,24/05/2012
5.6,21/12/2010
5.5,19/04/1991
6.1,17/08/2017
6.9,09/12/1974
6.7,12/05/2005
5.7,14/03/1997
4.5,28/09/2014
6.3,29/01/1982
5.8,19/11/1993
6.8,09/04/2000
5.8,06/02/2014
4.2,19/02/2018
5,16/10/2009
6.8,25/07/2019
7.6,10/02/1978
5.9,16/11/2009
6.3,24/10/1997
6.2,13/12/2007
6.8,09/09/1997
7.9,01/05/2015
5.6,18/09/1987
0,24/04/2020
6.3,15/11/1967
5.3,13/01/1989
6.5,03/07/2013
7.2,16/09/1992
6.7,21/11/1984
7.1,12/09/2019
5.7,16/04/2003
7.3,09/06/1995
7.5,31/08/1977
5.7,07/11/1996
6.8,02/03/1980
6.5,19/11/2004
8,26/02/2014
8.2,02/09/1992
4.5,18/12/1998
8.2,07/02/1976
8.2,18/08/2009
8.5,10/09/1994
7.8,01/11/2019
5.2,03/07/2014
6,17/04/1986
0,12/09/2003
0,28/03/1973
0,07/02/2004
0,19/11/1989
0,19/11/1974
0,04/12/1985
0,28/11/2003
0,09/10/1986
0,01/02/2000
4,05/10/1983
5.4,11/01/2007
4.6,22/04/1983
0,24/10/2003
6.1,21/05/1999
3.9,19/09/1986
0,17/10/2007
6.4,02/03/1978
4.9,24/09/2000
5.2,12/09/2014
5,10/10/2002
5.8,08/10/1993
5.6,27/09/1994
5.9,06/09/1998
4.7,13/09/2002
6.9,29/09/2002
5.7,23/11/1979
4.4,26/02/2003
6.5,17/09/2010
4.8,08/08/2016
5.6,24/06/1976
6.2,23/01/1980
6.2,01/01/2001
5.8,01/01/1976
3.7,06/09/2018
7.2,30/04/1999
5.2,01/01/2004
6.4,02/02/2018
6.4,11/09/2006
4.7,22/09/2000
8,12/10/1995
5.8,01/06/1975
6.4,22/09/1998
5,01/01/1989
6,30/12/1988
6.3,26/10/1986
10,21/12/1990
0,22/09/2015
10,16/06/1990
6,14/09/1970
5.5,21/04/2001
4,01/12/1988
5,12/12/1984
6,24/01/1986
6,05/02/1984
0,19/01/1988
6.8,15/05/1982
0,11/05/2000
4.5,15/03/1983
5.7,26/09/2003
0,04/11/2019
4.5,15/09/2006
4.4,10/04/1986
3.8,07/03/2014
4.6,29/12/2010
4.3,20/12/1985
6.7,04/12/2005
6.3,14/10/1994
5.5,12/11/1976
8.5,01/01/1998
5,01/09/1987
5.5,21/09/2015
