Rating,Date
6,20/10/1971
5.8,21/03/1980
5.5,22/05/1996
7,25/04/2006
5.4,23/06/1969
4,13/09/2002
7.8,20/09/2014
2.5,01/09/1975
0,21/08/2001
5.9,07/05/1999
6.2,17/09/1967
5.6,25/04/1968
5.5,18/03/2001
6.2,16/01/2019
4.9,03/11/2015
4.6,07/03/1973
6.4,01/01/1964
7.7,02/12/2005
3.3,01/01/2005
7.8,12/07/1990
4,01/10/1970
0,06/06/2001
6.5,01/12/1968
0,01/01/1993
0,23/11/1979
8,01/10/1992
2,09/03/1975
5.6,17/05/2002
5.4,26/07/1991
10,10/10/2017
5.8,24/04/2014
5,30/01/2018
5,22/03/2019
7.5,23/05/2010
7,27/05/1981
5.8,04/03/2011
6.5,02/10/1974
5.4,01/02/1968
5.5,25/10/1978
7.4,30/11/1971
5,30/01/2015
5.6,17/05/2003
6.5,03/05/2019
7.2,12/07/2012
5.8,19/12/1975
6.1,01/01/2002
6.9,01/08/2014
6.5,22/11/1991
6.2,05/05/1987
6.8,13/10/2007
5,24/02/2017
5.6,11/11/2009
6.9,27/08/1969
6.3,28/09/1977
4.3,03/01/1996
7.5,30/03/2004
6.6,25/07/1998
6.4,17/06/1976
6.2,04/08/2000
5.6,15/03/2008
5.7,24/06/2001
4.5,09/11/1965
5.2,15/03/1975
6.3,07/07/1965
7,14/12/1979
7.4,18/12/1973
5.2,07/03/2015
4,22/07/2016
5.7,22/12/1982
6.6,25/12/1974
5,08/06/2012
6,04/09/2014
6.3,05/11/1993
4.5,11/03/2014
6.6,20/05/2013
7.2,27/03/1981
6.5,17/05/2009
6.2,20/10/2000
6.1,19/06/2008
6.6,09/10/2003
5.5,14/06/2012
5.9,21/06/1996
6.5,17/09/2009
5.3,25/10/2005
6.4,26/09/2013
8.5,20/12/1974
8.7,14/03/1972
7.7,30/11/1990
7.8,19/05/2003
6.1,22/08/2013
6.6,17/06/1976
6.3,24/09/1993
6,10/03/2012
5.7,07/07/2017
6.2,25/06/1975
5.8,14/01/2010
7,02/02/2014
5.6,28/08/1992
5.9,06/09/2008
6.4,08/09/2000
5.5,16/08/1999
6.8,21/02/1996
7.2,15/06/1977
7.5,24/04/2011
6.1,05/04/1990
6.1,07/10/1988
5.9,13/12/1979
7.4,07/06/1967
5.5,06/09/1996
6.3,16/09/2016
