Rating,Date
6.2,07/09/1951
6.5,28/08/1974
6.3,28/07/1978
7.2,24/11/1968
7,27/08/1947
6.7,24/06/1965
6,12/05/1977
6.7,16/12/1970
8.7,14/03/1972
5.9,14/11/1970
5.8,08/02/1956
7.1,18/11/1958
5.1,10/05/1978
6,01/01/1977
0,06/10/1973
6.5,01/08/1975
6.3,20/03/1952
0,05/07/1968
4.6,21/04/1950
6.5,11/12/1981
5,01/12/1977
5.5,22/10/1968
8,14/12/1980
6.2,06/08/1982
6.8,13/02/1963
6.3,17/05/1977
6,18/09/1953
6.4,01/01/1963
6.7,15/12/1963
6.2,25/05/1972
6.4,19/09/1981
5.2,01/12/1973
8,16/10/1971
6.8,27/07/1960
6.5,02/05/1986
0,18/11/1984
0,01/11/1965
0,28/02/1971
0,13/09/1972
2,01/08/1971
5,17/05/1980
10,01/01/1973
6,06/11/1977
6,06/01/1981
8,18/12/1982
0,15/06/1983
0,06/03/1965
0,19/11/2011
8,31/03/1976
