Rating,Date
8.5,10/09/1994
0,30/09/2003
0,18/06/1978
0,08/03/2005
10,13/06/2015
6,19/06/1987
10,01/01/1999
10,22/05/2017
5.5,08/01/1974
5.1,26/08/1976
8.7,05/11/2017
7,20/08/2002
3.2,17/04/1992
8,12/05/1987
8,13/05/2016
6,16/04/2017
10,22/04/2004
2.8,22/12/1978
7.5,12/01/1999
0,01/03/2005
8,22/11/2006
5.3,15/09/1991
3,01/10/1998
6.4,01/05/2007
6.3,01/01/2005
6.6,01/01/1985
0,14/10/2008
5.4,26/07/1991
4.1,13/01/1989
5.8,04/10/1991
5.4,11/07/1983
5.1,05/11/1993
6.3,11/06/2009
4.9,27/10/2000
7.7,25/01/2015
5.7,25/12/1996
6.5,18/04/2003
4.3,30/08/2019
5.4,04/03/2005
6.7,16/12/1977
5.2,14/12/1990
5.3,14/06/2018
6.5,20/10/1995
6.3,05/07/1996
6,12/10/1989
5.8,02/03/2007
6,09/02/1996
7.2,03/11/1976
7.4,25/12/1998
6.3,18/06/1999
6.2,15/04/2004
5.1,14/04/2016
5.9,26/07/2002
6.9,27/06/1997
4.4,23/05/2019
6.4,21/11/2008
6.6,13/07/2007
7.4,07/07/1978
6.2,07/06/2001
6.1,07/11/1997
5.4,24/11/2009
5.1,01/07/1975
6,22/12/2017
6.5,16/11/2016
5.9,12/11/1976
4.9,01/12/1995
4.7,07/06/1985
5.9,29/08/1997
4.9,22/02/2019
7.6,20/11/2012
5.4,01/01/1983
7.5,09/09/2012
6.1,06/06/1980
6.9,02/09/2004
6.3,20/03/1998
5.4,16/11/2018
5.6,28/10/2001
5.6,05/11/2015
2.9,10/05/2000
7,02/02/2014
7.4,24/07/1981
6.3,01/10/2004
5.7,10/09/2014
5.9,21/10/2016
6.1,30/04/2006
5.5,12/07/2013
6.4,06/07/2012
5.9,20/11/2015
6.2,04/02/2010
6.3,25/12/1998
