Rating,Date
5.5,01/09/2005
0,01/10/2021
6.3,07/10/2004
6.8,05/06/2009
6.9,02/05/2014
6.8,16/05/2006
5.8,20/01/2005
7.2,09/09/2006
6.6,06/06/2011
6.5,19/10/2001
6.9,19/12/2003
7.4,06/12/2002
6.4,28/09/2012
7,16/12/2009
6.8,30/12/2002
6.4,17/05/2000
5.3,01/03/2002
6.5,21/07/2006
6.1,09/08/2006
6.8,11/01/2002
6.7,23/09/2018
6.2,26/03/2010
6.4,27/06/2013
7.8,18/01/2001
8.4,16/07/2008
6.4,08/09/2006
6.8,27/04/2004
6.6,21/08/1992
0,01/08/2016
0,05/11/2013
6.5,12/02/2014
0,07/11/1999
0,30/05/2007
5.6,17/04/1998
0,27/04/2012
6,27/05/1996
0,01/04/2016
6,20/01/2014
7,01/08/2016
0,11/08/2018
5,15/03/1999
4,05/04/1998
0,15/04/2000
5.2,10/09/1993
6,02/05/2004
4.9,22/04/2005
5.7,05/09/2003
6,30/07/2016
