Rating,Date
0,24/12/1997
0,23/09/1987
0,07/08/2013
0,03/06/1992
0,01/02/1982
0,01/01/2016
6.8,16/06/2011
5.5,01/01/1999
6.3,19/12/2014
4.5,09/09/1990
7,25/10/2000
8.4,11/10/1991
5.3,14/07/1997
5.5,17/08/1988
6.2,11/09/2004
7.1,07/08/2009
5.4,06/06/2004
6,28/04/2016
7,27/09/2001
7.3,20/04/2016
5.5,13/02/2007
4.3,29/06/2011
5,01/01/2007
6.9,19/09/2001
5.5,24/09/2001
5.6,24/09/1993
3.9,16/11/2017
5.7,08/09/2009
6.5,21/04/2000
6.4,13/09/2017
6.6,20/06/1997
7.5,17/09/2003
6,22/12/1995
5,30/09/1994
7.3,12/06/1996
4.8,12/10/2007
0,18/04/2001
0,01/01/1997
0,01/01/1994
0,01/01/1995
0,23/03/2001
0,01/01/2001
0,25/09/2018
4,26/10/1997
5,22/01/1997
6,16/02/1991
7,31/10/1987
7,09/04/1985
7,04/05/2011
6.1,07/10/2015
0,10/09/1998
6.5,10/09/1989
8,21/09/2018
6.3,26/05/1996
4.5,04/11/1994
7.3,06/02/2013
6.3,15/11/2006
4.5,01/08/2001
6,06/05/1982
0,04/04/2014
8,18/11/1987
6.5,10/07/1996
5,01/01/1984
0,11/08/1999
6,04/04/2007
7.6,04/11/2016
5.8,25/09/2014
7.2,26/10/2011
6,07/03/2003
6.4,28/09/1990
8.5,10/09/1994
