Rating,Date
8.7,14/03/1972
0,11/08/1994
8,11/11/2001
0,01/05/2001
0,01/01/2001
0,01/01/2018
8,07/10/2001
3,01/01/1980
5,01/01/1978
0,19/12/1994
0,28/11/2006
7.8,20/09/2014
6.8,16/09/1966
7.6,24/03/1970
5.8,01/11/1997
6.9,02/04/1963
5.7,18/06/2001
4.5,21/08/1992
5.8,30/08/1971
7,25/04/2006
6.8,13/11/2001
7.8,12/07/1990
7.3,14/04/1960
7.1,04/06/1953
6.8,02/04/1958
6.7,30/12/1953
7,02/02/2014
7.8,18/09/1951
6.6,30/03/1961
6.8,23/12/1955
6,30/07/1997
8,06/09/1991
6.3,20/07/1990
6.5,19/05/1976
7,07/02/1952
7.1,14/10/1972
6.9,08/11/1962
8.1,22/06/1954
5.6,28/06/2006
7.1,13/12/1978
8.3,15/08/1979
6.7,13/07/2001
6.1,05/01/1967
6.4,12/10/1994
4.6,23/08/1996
6.6,19/02/1969
5.7,10/06/1964
5.7,01/01/2003
6.8,16/11/1954
5.6,03/12/1998
5.7,01/01/1980
6.8,11/10/1967
7,20/07/1950
6.8,01/01/1989
5.4,17/12/1968
6.3,01/01/1956
6.4,14/09/1966
6.6,24/08/1965
6.8,21/12/1969
7.1,02/11/2006
6.8,05/12/1957
7.1,19/02/2010
7.5,29/07/2015
7.2,17/02/1966
6.4,01/05/2007
