Rating,Date
0,15/07/2020
6.4,12/10/2007
6.8,17/06/1981
7.1,14/12/1988
6.9,20/05/2015
5,06/10/2000
6.8,11/11/2009
7.4,10/12/1992
3.8,17/07/1987
6.6,06/04/2017
5.3,04/09/2018
5.8,21/10/2015
5.9,26/07/2002
5.5,15/03/2018
6,19/01/2012
6.4,14/12/2000
6.8,02/06/2016
6.8,11/09/2014
7.6,22/09/2006
5.8,13/01/2011
7.6,13/12/2014
5.9,11/06/2011
7.4,19/07/2017
7.4,29/05/2013
8.2,19/10/2006
5,21/06/2005
6.9,25/07/1980
7.4,22/01/1964
6.6,29/03/1966
7.8,05/11/2014
6.8,19/03/1982
6.2,08/10/2004
6.2,12/10/1990
7.2,20/03/1992
7.7,10/12/1972
6.9,02/02/1983
6.1,20/10/2005
6.9,15/09/1969
7.5,03/12/1975
0,10/04/2020
7.5,21/09/2018
7.7,16/07/2012
4.7,18/02/1994
7.2,15/06/1977
7,18/03/1965
7,17/12/1999
6.7,05/05/1988
6.7,22/11/2002
7.1,03/03/1971
5.7,03/10/1996
7.1,19/09/2003
6.5,24/12/1976
7,22/11/2000
6.6,05/11/1998
6.9,13/06/1986
6.6,01/09/2007
7.7,10/06/2005
8.4,16/07/2008
8.3,15/07/2010
7.6,07/02/1986
8.3,05/11/2014
6.4,24/02/1987
7,02/06/1969
5.9,17/02/1984
5,09/03/1960
6,01/06/1970
8,11/10/1988
6,03/01/1969
0,01/09/1962
0,24/12/2009
10,08/12/2017
6,01/01/1989
7,12/12/1958
0,20/09/1999
7,01/06/1957
3.8,26/09/1967
0,22/10/2006
0,15/11/1964
6.3,16/02/1997
6,27/03/2016
5.6,01/07/1958
9,30/06/1994
6.5,26/10/2006
8.3,31/03/2015
5.3,11/09/1968
4.3,03/12/1975
6.3,19/06/1966
6.5,17/02/1959
7.4,01/12/1986
10,05/06/1995
8.7,28/10/1991
5.6,17/11/1958
0,01/01/1985
4.7,09/10/1987
6.4,27/06/1967
6.1,16/03/2003
4.3,01/01/1998
6.9,09/02/1967
6.1,17/05/1974
6.1,21/11/1986
6,24/04/1981
6.9,16/12/1966
5.4,13/06/1980
7.4,01/11/1961
5.2,20/09/1985
6.6,23/03/1990
5.7,12/12/2003
6.4,28/01/1971
6.4,20/05/1970
5.4,22/09/2000
5.5,09/10/1992
6.1,17/04/2009
7.1,07/09/2008
5.8,16/03/2018
4.9,14/07/1978
6.3,22/12/1966
6.8,22/08/2013
7.3,08/10/2017
0,06/03/2020
7.3,08/06/2015
6.2,15/12/1978
5,18/05/1979
6.1,01/02/1975
3.9,20/12/1995
5.2,08/01/2003
6.5,10/12/1968
6.2,03/06/1977
6,22/12/1971
6.3,13/12/1960
6.7,18/09/1956
5.7,01/11/1972
5.7,14/05/1986
5.3,09/03/1979
6.4,01/01/1969
6.4,17/06/1976
5.1,02/11/1990
5.8,18/02/1958
5.2,21/01/1972
0,25/02/2021
7.8,01/01/1956
5.4,13/08/1986
5.6,11/06/1975
5.5,05/12/1998
7,12/07/2019
4.5,01/01/1996
4.9,06/01/1990
4.8,24/08/1984
5.7,30/09/1983
5.8,02/11/1967
6.2,10/09/2001
5.5,01/01/1985
6.5,04/09/1974
