Rating,Date
6.8,08/11/1985
0,15/01/2013
0,16/01/2012
7.3,07/10/2004
7.3,17/11/1985
10,01/01/2000
7.8,01/12/1981
5.5,24/11/2010
0,10/12/1974
9.5,08/09/2001
0,01/01/1994
1,20/10/2017
5.7,09/09/1999
4,01/01/1981
8,12/11/1978
3,29/04/2014
1,06/01/2014
0,08/11/1985
4,21/03/2012
5.5,09/03/2004
0,06/06/2008
6,01/01/1996
0,01/01/1991
10,01/01/2013
0,06/07/2011
0,01/06/2002
5,19/06/1991
10,10/06/2003
0,22/01/2005
5.2,01/12/1973
5.5,23/03/1987
4.7,04/05/1988
7.2,15/01/2009
6.9,09/08/1996
8.5,23/11/2013
6.5,15/02/2017
7.5,20/04/1965
5.9,13/02/1981
6,05/10/1984
6.3,25/02/2008
5.9,03/04/2014
4.5,27/04/2013
5.7,12/12/2014
2.7,22/07/2003
6.6,28/07/2016
7.1,08/04/2011
7.2,15/10/2012
6.4,10/08/1988
8,01/01/2010
5,17/05/2018
6.3,27/09/1985
6.4,01/01/1986
5.4,16/02/2010
10,22/04/1990
5.6,20/06/2004
5.4,01/03/1980
6.5,20/06/2007
7,03/06/2011
7,04/07/2017
6.3,01/01/2005
5.8,02/03/1984
7.7,19/09/1997
7,27/09/2000
7,03/12/1997
6.5,20/03/1987
7,13/12/2009
6.1,14/06/1996
7.3,09/08/2019
8.4,16/07/2008
8.7,23/09/1994
5.9,09/01/2009
5.8,09/05/2009
5.6,02/08/1996
6.1,28/09/2007
6.7,12/09/2014
6.7,09/09/2005
5.4,29/07/2005
6.2,24/09/2000
5.5,09/06/2007
7.5,24/02/2006
6.4,31/10/2013
5.4,21/03/2003
5.6,17/08/2016
7.3,13/12/1989
7.5,15/12/1989
7.2,20/06/1980
6.7,02/02/2005
5,30/01/2004
7.7,27/03/1992
7.2,03/03/1989
6.2,16/03/2003
5.6,21/12/1990
7.1,06/07/2012
6.9,23/09/2011
6,05/09/2014
0,26/08/2020
6.3,11/09/2006
5.7,05/04/2006
7.1,26/01/2005
6,30/08/2000
6.4,12/09/1989
4.3,20/06/2008
6.3,03/04/2015
6.1,21/08/2019
6.2,05/04/2002
6.6,06/04/2017
7.9,15/12/2004
6.4,29/09/1997
7.9,07/08/1992
6.3,20/03/2013
6.3,25/07/2014
6.5,10/04/2013
6.8,02/06/2016
6.1,25/06/2015
7.2,10/12/2009
6.7,23/05/2003
7.7,16/07/2012
8.3,22/09/1995
7.7,10/06/2005
6.5,10/03/1995
7.4,29/05/2013
5.7,16/01/1998
6.4,28/06/2005
4.4,23/05/2019
5.8,01/08/2015
5.1,01/12/2017
7.3,18/09/2007
6.3,06/04/2001
6.2,31/05/2002
6,26/10/2018
6.7,13/10/2010
6,02/03/2016
7.4,06/02/2014
6.4,19/06/2008
5.2,17/08/2011
6.8,14/06/1991
6.1,08/05/1998
7.1,25/12/2007
6,16/04/2014
