Rating,Date
0,12/04/1949
0,05/12/1969
0,21/10/1953
0,20/02/1970
5,10/10/1965
5.8,10/12/1954
6,03/03/1973
6,23/05/1952
4,08/05/1953
4.7,23/08/1975
6,03/11/1939
5.5,03/06/1955
3,14/09/1955
6.6,22/08/1973
7,05/05/1965
6,01/01/1957
6.5,13/08/1973
6.5,21/06/1945
6,13/05/1964
5,01/01/1968
0,05/01/1997
6.8,25/12/1955
6,25/06/1964
5.7,23/08/1973
5.6,25/12/1945
5.6,01/06/1951
6.3,24/05/1941
6.5,19/11/1968
6,27/01/1954
7,01/02/1973
6.9,14/05/1947
5.9,15/02/1955
7,29/09/1948
6.5,19/01/1967
5.1,23/12/1938
6.6,20/03/1953
6.5,28/11/1949
7.2,20/09/1949
6.6,10/11/1967
6.1,15/01/1947
4.5,21/12/1960
5.2,15/06/1966
6.6,12/07/1974
6.5,31/10/1952
6,25/12/1956
4,15/11/1955
5.8,25/02/1944
6,18/06/1945
7.2,04/05/1975
6.2,27/11/1973
5,25/12/1963
5,20/03/1955
4.8,30/03/1945
6.4,04/08/1956
6.3,01/01/1943
4,01/11/1951
6.4,22/02/1951
5.1,06/02/1975
6.6,01/01/1968
6.1,13/08/1975
5.3,01/12/1945
3.4,20/09/1950
6.2,01/06/1959
6.6,12/06/1946
6.1,01/09/1957
7.2,15/02/1955
6.6,17/02/1960
7.1,13/02/1948
6.3,15/02/1965
8.7,14/03/1972
7.1,01/07/1949
