Rating,Date
6.5,20/12/2012
6.3,09/06/2000
7.3,08/10/2014
8.3,15/08/1979
8.5,20/12/1974
8.7,14/03/1972
6.1,08/05/1998
6.5,06/11/2018
5.9,17/11/2000
7.3,26/02/1993
6.7,01/10/1973
5.4,11/09/2002
5.5,12/05/1972
5.5,03/05/2000
7.2,09/02/2007
6.7,11/03/1971
7,26/10/1979
6.1,25/07/2013
6.3,28/05/1968
5.4,01/02/1968
6.6,24/10/1976
6.7,17/12/1993
6.4,21/05/1975
6.6,10/09/1991
5.8,21/11/1992
5.6,02/09/2011
6.4,29/03/1996
5.8,19/12/1975
4.7,05/06/2015
4.3,02/02/1978
5.2,01/01/1991
8,14/09/2004
5.5,15/07/1970
5.2,01/01/1986
7,14/08/2004
8.5,04/04/1984
4.5,14/12/1985
4.4,11/05/1990
6.3,17/05/1977
6.5,15/09/1995
8,09/03/2019
7,25/12/1963
6.4,08/11/1996
7.8,12/07/1990
7.2,09/04/1972
5.7,13/11/1981
5.3,26/08/1992
6.9,27/08/1969
6.4,01/05/2007
7,04/07/2017
5.2,13/07/1973
5.5,08/11/2013
7.5,09/09/2012
6,25/09/1981
6.5,24/12/1976
6,10/12/1993
7,11/05/1984
5.8,04/08/1995
7,16/12/2009
5.8,09/03/1990
6,21/02/2003
6.3,05/07/1996
7.1,29/08/2003
7.1,15/02/2002
7.6,07/04/1974
7.2,17/10/1968
7.9,01/11/1976
5.7,13/05/2005
7.2,19/12/1978
6.1,27/06/1990
7.1,24/01/1970
6.9,25/11/2009
7.2,17/03/2005
5.9,17/02/2017
5.6,26/11/2008
7.1,19/09/2003
5.6,01/05/2007
7.2,17/02/1966
6.6,11/03/1971
6.6,10/04/1992
6.4,19/12/1997
6.3,25/12/1998
5.6,23/01/1998
8,06/09/1991
6.5,15/04/1988
6.4,14/07/1972
7.6,30/08/1996
7,02/02/2014
7.4,11/06/1969
6.7,09/10/2007
6.6,18/03/1994
6.8,30/07/2010
5.7,13/10/1995
6.2,27/08/2012
8,25/12/1962
6.8,02/04/1983
5.3,25/07/1973
7.8,20/09/2014
5.5,13/06/1986
6.4,22/05/1983
0,22/05/2005
0,02/11/1967
0,07/06/2005
5,10/03/1982
8,26/11/1966
0,21/07/2010
8,11/11/2001
7,01/01/1980
0,06/03/1965
8,08/12/2010
6.1,01/03/1971
4.8,08/01/1987
7.5,04/06/2006
10,31/01/2012
