Rating,Date
0,24/09/2014
0,02/05/1978
0,19/06/2001
0,26/06/2001
4.5,27/09/2012
8,12/03/1989
0,10/02/2017
9,17/09/2013
10,01/01/1999
6.3,02/02/2000
0,12/04/1977
6,18/07/2017
0,05/06/1987
0,01/01/1972
7.8,20/08/2002
7.5,23/02/2005
10,15/11/2016
5.3,18/12/2011
7.3,01/01/1992
4.8,15/12/2015
7,20/08/2002
8.5,14/06/1987
2,01/07/1996
7.3,06/03/2020
6.5,18/12/2019
8.3,25/04/2018
5.9,09/08/2002
7.5,28/06/2019
7,06/03/2019
7.7,20/03/2014
5.8,30/01/2014
4.8,27/04/2005
6.5,15/05/2002
6.7,16/08/2017
7.1,13/11/2000
7.7,25/12/2015
7.6,13/12/2014
5.6,13/01/2017
7.3,17/05/2005
6.9,22/07/2011
7.7,05/11/2004
7.8,16/04/2004
7.1,19/05/1995
7.5,14/06/2018
6.4,08/03/2017
8.2,18/08/2009
6.5,16/01/2019
8.4,12/09/1990
8.1,25/12/2012
6.8,28/04/2010
6.7,21/04/2011
7.3,22/04/2015
8.5,10/09/1994
7.6,30/04/2008
8.3,24/04/2019
7.7,25/04/2012
6.4,19/05/1999
6.5,14/06/2019
6.7,28/09/2016
6,13/02/2008
7,04/05/2004
6.5,07/11/1997
7.6,20/11/2012
3.7,01/12/2006
5.6,10/09/1980
6.7,17/03/1995
6.4,24/07/2010
6,19/01/2001
7.1,14/11/2010
6.3,07/11/2008
6.5,12/02/1988
7.3,21/10/2019
7.4,25/11/1987
7.3,08/06/2015
5.7,24/04/1992
7,07/11/2009
7.3,12/02/2011
5.4,05/03/1993
5.4,05/09/2014
5.6,02/03/2012
7.3,20/11/1981
6.3,07/06/1991
6.2,14/06/2007
5.5,08/09/2005
5.7,21/04/1995
6.9,28/02/1996
4.5,06/07/2016
6.6,01/01/1994
4.4,23/03/1990
6.6,23/03/1990
6.4,01/01/2002
3,09/11/1990
0,01/01/2014
5.8,14/11/1994
0,26/03/2010
8.3,28/01/2008
6,03/11/1989
10,22/04/2004
7.5,12/01/1999
0,08/06/2009
4.5,01/01/1992
10,15/06/1999
4.8,24/11/1991
6.3,26/02/1994
0,26/08/2020
5.7,15/03/2005
6.4,02/12/2016
6.2,10/02/2003
8.8,19/02/2012
3.7,11/05/1994
5,01/06/2002
7,04/07/2017
4.5,18/08/1991
4.7,16/09/1994
5.8,14/11/2012
5.5,09/02/2008
5.7,22/06/1990
5.8,08/11/1991
7.2,04/09/2004
0.5,02/12/2012
6.8,18/03/2014
6.9,11/05/1996
7.1,17/01/1992
7,25/01/2009
7.1,21/09/2018
6.1,11/09/2017
6,13/02/1998
6.7,14/06/2010
7.2,24/07/1996
6,11/09/2007
5.4,28/06/2002
5.9,17/01/2014
4.7,25/12/2008
6.2,06/08/2010
5.9,15/06/2000
6.2,15/10/2009
7.9,14/06/1989
6.7,29/06/1988
8.1,03/02/2017
7,29/07/1998
5.7,30/04/2015
6.6,22/06/2007
7.4,14/01/2005
6.6,11/10/1996
6.1,11/07/2013
7.8,23/01/2020
5.8,29/06/2016
7.3,25/12/1997
5.9,05/08/2008
6,08/08/2003
6.8,08/12/2006
6.6,04/06/1992
7.9,11/06/1993
6.5,18/04/2003
7.1,22/04/2011
6,17/08/1990
7.7,10/09/1998
6.2,07/12/2001
0,10/06/2021
6.7,15/09/1989
6.6,02/06/1995
7.5,21/09/2018
7.4,26/05/1993
5.9,19/09/2008
5.3,03/05/1996
5.4,27/02/2004
5.9,04/12/2015
7.5,09/09/1993
6.1,07/04/2002
6.6,29/07/1997
5.2,06/08/2006
4.3,13/06/2014
6.5,03/08/1990
5.9,14/11/2013
4.9,11/10/2011
5.2,03/05/2012
5.9,04/02/1993
7.5,24/08/1994
5.4,17/02/2006
5.6,05/06/2012
6.1,07/04/2000
5.8,28/07/1999
5.4,15/12/2006
6.6,26/06/1998
