Rating,Date
6.3,17/09/2004
8,04/03/2012
5.3,16/01/2003
6.9,17/06/1988
5.6,10/01/1993
5.9,03/05/1994
6.4,01/01/2001
6.2,01/01/2002
4.6,17/09/2010
7.4,01/09/1996
3.3,19/06/2014
5.9,13/03/1994
0,20/05/2020
5.7,21/10/2015
5.7,16/05/2003
6.9,16/10/1983
5,11/09/2014
6.3,03/12/2015
5.7,01/03/2006
3.2,31/05/2005
5.6,12/04/2009
5.9,13/03/2004
5.8,28/09/2018
6.7,19/05/2005
7.6,20/11/2012
7.6,22/01/2011
6.5,12/09/1984
6.7,02/12/1990
6.1,01/01/1988
5,06/06/2016
7.2,20/02/1985
0,01/10/1988
6,16/10/1988
9,18/11/2014
7,01/02/1987
6.6,07/04/2017
0,09/11/1992
0,21/05/1992
6,18/09/2000
6,01/11/1984
0,31/12/2014
0,01/01/2010
5.3,19/11/2004
0,21/10/2008
7.3,01/01/1992
0,02/06/1993
7,20/08/2002
7.5,01/01/2011
5.8,24/12/2009
7.3,06/01/1998
0,01/05/1986
6.3,31/08/1997
0,18/02/2022
7.3,21/10/2019
7.3,25/12/2019
8.2,02/09/1992
6.2,12/06/2008
8.5,10/09/1994
7.5,25/07/2019
7.7,25/12/2015
6.5,12/09/2011
6.5,20/10/2007
7.2,25/02/1982
6.9,22/08/2012
7.4,08/02/1991
6.4,26/10/2007
6.5,27/08/1997
6.8,29/01/1997
6,09/02/2000
6.7,13/04/1995
6.5,06/12/1996
6.7,27/10/1994
4.3,17/12/2007
6.3,14/09/2012
6,14/05/2014
5.7,25/07/2001
7.5,25/12/2014
6.2,01/05/2000
6.2,12/09/2015
6.7,02/08/2019
5.7,17/02/2013
5.4,08/07/2005
7.5,10/09/1989
7.8,21/03/2014
4.9,27/10/2000
5.3,07/09/2001
4.2,04/05/2018
6.4,29/02/2016
8.3,28/10/1998
6,09/12/1995
5.9,24/11/2012
