Rating,Date
0,27/09/2017
5.8,26/07/2014
8,01/04/2004
6,07/05/1996
6.2,26/07/2014
7,01/01/2000
7,20/08/2002
5.8,01/01/2007
5.3,29/10/1987
7.1,18/10/2005
8.6,01/10/2003
4.7,19/04/2002
6.8,26/07/2014
4.8,23/12/2001
6.9,25/12/2013
6,17/12/2008
4,27/08/2008
4.3,23/10/2005
6.7,11/09/1995
6.2,23/02/1990
0,31/01/2020
6.2,21/08/2018
6,16/01/2002
4.8,22/03/1988
6.2,14/05/2000
6.7,09/02/1996
4.3,20/06/1997
6.7,25/12/2013
6.1,01/02/2010
8,28/03/2011
7.8,16/04/2004
7.5,07/09/1997
8,10/10/2003
8.5,10/09/1994
0,31/12/2020
4.9,20/06/2006
5.4,01/08/2018
5.6,29/11/2012
7.3,21/10/2019
4.5,13/05/1994
5.2,08/10/2010
6.3,25/12/2005
5.2,09/03/2012
6.5,12/09/2012
7,02/11/2001
5.9,21/09/2005
6,08/09/2007
5.8,26/04/1996
5.8,05/03/1993
4.9,21/01/2009
4.3,13/08/1998
5.8,13/05/1991
6.9,03/12/1999
7.3,01/05/1998
7,07/12/1988
5.5,29/02/2008
6.2,01/05/2000
6,06/11/1992
4.4,01/01/2013
5.4,04/03/2005
7.3,16/12/1988
4.2,04/05/2018
6.1,25/12/2003
6.4,28/09/1990
7.2,04/10/2018
6.4,02/10/2015
5.7,07/02/1992
