Rating,Date
6.9,22/05/1996
7,07/12/2011
7.6,19/04/2017
8.5,10/09/1994
7.3,13/07/2018
7.1,23/07/2015
6.6,03/05/2006
6.1,24/05/2000
7.4,21/06/2002
5.7,21/04/1995
6.7,22/10/1999
6.4,01/11/1991
7.1,27/06/2001
4.9,08/04/2008
5.1,20/07/2010
5.3,29/05/2009
6.6,26/06/1998
5.2,20/08/2010
6.5,07/05/1993
5.8,01/05/2009
5.6,12/11/2010
5.8,21/12/2017
7.4,02/11/1990
4.2,11/05/2012
5.6,27/02/2009
5,21/02/1992
5.9,12/07/2007
5.5,04/01/2013
6,02/07/2001
6.4,17/07/2002
4.8,28/06/1996
6,24/09/2009
6.7,01/06/1997
6.1,29/04/1999
5.6,15/11/2017
6.9,19/03/2004
7.9,05/02/1993
4.8,07/06/2012
6.3,14/12/2002
6,01/01/2009
7.1,18/08/1989
4.5,17/09/2010
5.5,26/12/2005
4.3,12/02/1997
5,28/04/2014
5.4,28/04/1998
4.7,24/04/2013
7.3,10/12/2000
5.6,04/09/2007
6.6,15/11/1997
5,30/01/2018
5.4,01/01/2003
5.7,24/07/2006
3.6,21/09/2012
5.9,24/05/2005
5.9,01/05/2005
4.6,29/10/2011
6.7,21/02/1997
6.2,28/05/1991
5.7,25/08/2006
5,24/09/2011
6.6,15/02/2016
3.3,16/04/2012
5.7,18/01/1991
6.5,03/01/2014
5,31/12/2013
6.4,28/09/2012
5.2,30/06/2011
5.2,21/08/2015
5.1,05/02/2009
8.2,22/08/2005
4.5,17/08/2009
0,02/02/2007
5,01/01/1984
5,23/07/1990
6,07/10/1990
0,05/05/2002
6,16/11/2010
7,20/08/2002
0,01/01/2002
5,10/05/1995
7.2,21/12/1990
6.2,03/08/2003
6.3,03/11/1993
2.7,28/10/1994
5,19/03/1995
3.7,30/06/2011
5.8,17/03/2010
10,12/11/2000
3.5,23/09/2007
6,14/10/2008
6.3,23/09/1988
2.5,12/07/2010
6.6,19/04/2014
6.2,01/01/2009
5.5,24/12/1986
3.8,01/01/2011
