target,budget,actorAv0,actorAv1,actorAv2,actorAv3,actorAv4,actorAv5,actorAv6,actorAv7,actorAv8,actorAv9,actorPo0,actorPo1,actorPo2,actorPo3,actorPo4,actorPo5,actorPo6,actorPo7,actorPo8,actorPo9,crewAv0,crewAv1,crewAv2,crewAv3,crewAv4,crewAv5,crewAv6,crewPo0,crewPo1,crewPo2,crewPo3,crewPo4,crewPo5,crewPo6
53,105000000,5.335294117647058,5.330303030303029,6.183720930232559,5.299999999999999,5.299999999999999,5.64736842105263,4.485185185185184,4.93157894736842,5.299999999999999,5.299999999999999,2.892,3.777,7.261,0.6,0.6,2.012,1.4,0.996,1.008,2.03,5.748275862068965,4.182142857142858,5.847368421052631,4.182142857142858,5.748275862068965,5.748275862068965,5.748275862068965,3.597,0.694,1.008,0.694,3.597,3.597,3.597
69,15000000,6.379545454545454,6.096850393700789,6.416,6.158139534883722,4.527777777777778,6.817647058823531,6.180357142857142,6.900000000000001,6.379545454545454,6.379545454545454,8.596,6.328,2.123,1.311,1.601,0.797,9.913,0.6,8.596,8.596,6.788235294117648,7.163157894736844,6.470588235294119,7.631250000000002,6.900000000000001,6.788235294117648,6.788235294117648,0.766,1.4,0.968,1.98,0.98,0.766,0.766
75,16000000,6.1125,6.6,6.341379310344829,6.739999999999999,6.665000000000001,7.105882352941176,6.668749999999999,6.9399999999999995,6.043589743589744,6.394736842105263,5.894,5.001,6.087,1.4,2.904,2.15,1.4,2.668,2.049,1.884,7.5,5.7363636363636346,7.5,7.5,7.5,7.5,7.5,1.034,1.528,1.034,1.034,1.034,1.034,1.034
84,350000,8.280000000000003,8.400000000000002,5.588461538461539,6.73846153846154,6.900000000000001,7.3450000000000015,7.645000000000001,6.335483870967742,7.147368421052632,6.6756756756756745,2.873,1.4,3.924,1.519,1.198,2.037,3.072,2.948,1.018,1.861,7.350000000000001,8.000000000000002,6.710526315789475,6.710526315789475,7.350000000000001,7.350000000000001,7.350000000000001,1.823,0.6,1.438,1.438,1.823,1.823,1.823
59,35000000,6.389743589743592,5.585882352941178,5.684375000000002,5.670000000000001,4.635135135135136,5.73,5.7375,6.0551724137931044,6.578947368421052,5.55,33.908,5.788,4.759,3.978,2.801,3.28,1.55,2.545,0.84,1.102,5.9,5.9,5.9,5.9,5.9,5.9,5.9,0.98,0.98,0.98,0.98,0.98,0.98,0.98
80,20000000,6.185365853658537,6.5285714285714285,4.5,6.668421052631579,6.934146341463416,5.87560975609756,5.004761904761905,5.912499999999999,6.235802469135802,6.3450000000000015,7.246,10.925,4.269,13.9,3.634,3.506,1.164,4.114,4.762,19.358,5.353333333333334,6.466666666666669,6.81,5.353333333333334,5.353333333333334,5.353333333333334,5.353333333333334,2.093,2.164,2.68,2.093,2.093,2.093,2.093
79,100000000,5.8046511627907,7.410000000000001,6.272448979591836,6.57962962962963,6.875000000000001,7.900000000000001,6.111702127659575,6.947222222222223,6.380357142857143,6.14468085106383,2.714,3.279,6.323,4.034,5.448,5.318,5.891,11.665,3.963,0.703,6.737037037037038,6.754545454545456,6.737037037037038,4.739999999999999,6.737037037037038,6.737037037037038,6.737037037037038,2.699,1.672,2.699,0.6,2.699,2.699,2.699
81,12000000,6.9347826086956506,6.899999999999999,6.002941176470588,6.757894736842104,8.099999999999998,7.265384615384614,7.088888888888888,5.005555555555556,4.626315789473684,8.099999999999998,1.985,1.4,1.4,1.708,0.84,1.167,1.4,1.5,1.623,0.828,7.533333333333331,7.533333333333331,4.859999999999999,7.533333333333331,7.533333333333331,7.533333333333331,7.533333333333331,4.785,4.785,1.38,4.785,4.785,4.785,4.785
57,200000000,6.170270270270269,5.611999999999998,5.78888888888889,4.565853658536585,5.921428571428572,5.758620689655173,5.806493506493504,5.651612903225808,5.323809523809524,5.975000000000002,6.754,3.672,7.246,8.292,5.518,2.211,16.27,3.799,1.442,1.902,5.586666666666668,5.2586206896551735,5.725000000000002,5.586666666666668,5.586666666666668,5.586666666666668,5.586666666666668,3.597,0.694,1.008,3.597,3.597,3.597,3.597
65,15000000,7.0600000000000005,6.224390243902438,5.8531249999999995,5.441379310344827,6.0212121212121215,5.664705882352941,5.929166666666667,6.5,5.441379310344827,5.658823529411765,6.592,6.542,13.351,9.568,2.588,6.186,7.897,0.6,1.4,0.98,5.888235294117647,5.888235294117647,5.780952380952381,6.7,6.5,5.888235294117647,5.888235294117647,1.03,1.03,0.732,1.652,0.6,1.03,1.03
71,65000000,6.048484848484847,5.1380952380952385,6.306666666666664,5.397435897435896,6.586206896551723,5.9399999999999995,5.793749999999999,5.114754098360655,5.3900000000000015,5.7875,8.877,12.236,5.024,6.139,2.73,10.925,1.548,5.731,1.581,0.832,6.529411764705881,5.878125,6.529411764705881,6.7799999999999985,7.099999999999999,6.529411764705881,6.529411764705881,9.546,1.388,9.546,2.628,0.84,9.546,9.546
