Rating,Date
8.4,16/07/2008
6.5,23/10/2019
7.7,10/06/2005
7.7,16/07/2012
5.8,23/03/2016
6.5,12/06/2013
6.6,21/08/1998
6.4,22/03/2002
5.8,08/12/2004
5.4,16/02/2007
7.3,27/02/1998
4.8,11/12/2011
6,13/02/2008
5.9,10/03/2000
7.5,04/10/2018
5.1,09/01/2009
6,14/09/1990
5.8,23/08/2018
6.2,20/06/2018
5,07/01/2016
5.4,29/08/1996
6.6,08/07/2008
6.3,21/09/2018
5.8,21/10/1994
6.1,27/04/2007
4.4,30/01/1991
0,31/12/2020
5.5,01/01/2008
5,12/03/1992
0,23/07/2021
4,26/05/1998
6.3,14/06/2002
3.7,18/12/2004
0,24/01/2020
5.3,20/07/1993
5,22/09/1993
