Rating,Date
8.7,14/03/1972
8.6,20/12/1974
8.3,15/08/1979
7.4,13/11/1992
7.4,24/12/1990
7.4,31/08/2003
7.1,18/11/1999
6.3,01/07/2001
7.5,25/01/1970
5.8,08/08/2003
7.9,26/04/1980
6.3,04/11/1994
5.4,12/06/2013
6.6,24/05/2006
7.1,31/12/1999
7.6,07/04/1974
7,18/11/1997
5,10/09/2011
5.6,22/05/2012
7.2,25/03/1983
6.6,11/03/1971
7.9,12/12/1993
6.8,12/08/1988
7.1,01/08/1973
6.2,09/08/1996
8.1,10/11/1983
7.2,20/10/1983
6.4,12/10/1994
6.1,03/09/2010
6.7,04/09/2004
7.2,13/08/1993
6.4,26/10/2007
7.2,02/09/1987
7.3,26/10/1966
6.2,05/10/1986
7.9,09/05/1973
6.8,11/06/2009
6.6,14/12/1984
6,01/01/1986
7.1,17/10/1979
6.4,10/03/1989
6.3,27/03/1974
8,15/05/1985
6.1,28/06/2002
6.3,05/05/1987
6.4,17/08/1981
6.3,07/03/1962
5.9,12/05/2001
5.5,25/09/1963
7.4,03/05/1995
6.6,03/08/1966
6,09/10/1968
7,27/08/1969
4.8,18/09/1987
6.6,09/06/1982
6.5,09/09/1966
5.7,04/05/1982
5.3,14/08/1987
3.5,12/02/1962
3,12/09/1959
7.3,23/05/1995
9,31/12/1992
3.3,09/08/1962
0,16/05/1977
0,28/09/1999
6.5,01/12/1968
0,25/09/1998
4.8,22/01/1972
0,05/06/2015
0,23/03/1987
0,01/01/2014
0,01/01/1956
