Rating,Date
8.3,05/11/2014
8.3,15/07/2010
7.2,12/07/2019
8.4,16/07/2008
7.4,04/10/2017
8.2,01/05/2000
7.7,10/06/2005
6,05/06/2019
7.7,16/07/2012
5.8,23/03/2016
7.2,20/06/2006
8.3,07/05/1994
6.5,12/06/2013
8,10/12/2016
7.6,18/05/2001
6.5,14/05/2011
7,19/05/2004
7.2,19/05/2007
6.7,04/03/2015
6.4,30/10/2008
8,18/10/2013
7.3,28/12/2001
6.5,06/06/2012
7.4,19/07/2017
5.9,13/10/2016
6.4,16/04/2014
7.2,08/07/2010
6.1,24/05/2000
6,20/09/2004
6.8,25/05/2005
7.2,23/12/2009
7.5,09/01/2003
6.6,13/05/2009
6.6,21/07/2005
0,11/11/2020
6.2,27/06/1990
6.9,04/09/2005
6.7,17/05/2006
7.1,04/06/2008
7,06/06/1996
6.6,21/06/2000
6.6,02/03/2011
6.9,21/05/2001
7.7,02/09/2013
7.5,09/09/1993
7.7,11/12/1988
6.7,23/01/2016
6.4,17/05/2006
6.8,28/10/2010
6.6,07/03/2003
6.9,26/07/2007
7.2,31/03/2000
7.1,12/05/1995
7.1,22/11/2011
0,17/12/2020
6.2,07/07/2004
7.1,15/12/1998
6.8,25/05/2011
7.7,24/05/2002
7,08/12/2006
6.5,06/11/2018
7.5,24/05/1991
7.6,29/07/2015
6.1,02/10/1998
6.6,18/10/2002
7.1,01/07/1992
6,03/07/2013
6.6,24/05/1991
6.5,22/09/1989
7.4,19/12/1997
7.4,05/03/1998
0,28/05/2020
0,12/08/2020
6.6,08/11/2008
7.3,13/12/1989
7.4,20/03/2015
6.5,26/11/2010
4.1,08/12/2000
6.4,08/01/2009
5.7,20/05/2016
5.2,17/12/2010
5.9,09/02/1996
6.6,12/12/2003
5.9,17/12/2004
5.9,26/09/1997
6.2,13/02/2014
6.1,20/10/2005
4.7,23/07/2004
6.8,19/10/1993
7,30/09/1993
0,23/12/2020
7.3,15/10/2008
7.4,18/05/2007
6,19/03/1993
5.5,08/12/1994
6.2,28/09/1990
6.5,16/02/1996
6.2,18/05/1990
6.2,03/06/1994
6.5,19/10/2001
6.7,10/07/1991
6.6,07/11/2008
5.2,18/12/1992
5.6,12/07/1995
6.4,23/03/2017
7,21/02/1992
5.3,13/01/2011
6,25/02/2011
6.5,09/01/2001
5.9,15/08/1996
6.8,22/08/2013
6.8,05/01/2016
6.1,23/12/1990
4.7,01/09/1999
5.7,13/12/1996
5.8,04/08/1995
7.2,20/01/2018
0,16/07/2021
7.1,10/09/1988
6.8,12/07/2012
5.8,09/10/1991
5.9,19/09/2004
7,01/09/2003
6.6,24/05/1995
7.7,27/03/1992
3.5,06/08/1984
5.7,04/02/1994
6.4,01/01/2001
8.6,04/02/2003
6.6,08/02/2001
8.1,23/10/1998
7,23/12/1988
6,22/12/2000
6.5,01/01/1985
7,18/05/2018
5.1,01/01/1986
5.8,01/06/1989
6,26/02/1988
6.1,04/03/2010
4.9,28/09/1988
6.8,17/06/1988
6.4,01/01/1988
5,18/07/2019
6.8,18/10/2011
4.9,17/11/1986
4,01/10/1993
7.3,10/09/1995
0,01/01/1987
0,02/10/1991
0,05/01/1990
10,30/08/2018
0,01/01/1988
0,12/05/1988
