Rating,Date
8.4,16/07/2008
6.8,19/11/2014
7.7,10/06/2005
7.4,15/11/2013
7.4,16/11/2016
7.7,23/10/2014
7.1,28/05/2014
6.9,14/11/2018
7.1,14/12/2007
6.3,06/04/2016
7.2,04/08/2004
6.8,12/12/2005
6.5,28/02/2018
6.9,18/11/2015
7.9,06/08/1999
7.1,13/11/2000
7.3,23/03/1990
7.2,27/12/2007
5.9,30/05/2012
6.8,15/11/1996
7.5,26/01/2006
7.2,11/12/2019
6.1,26/10/2018
5.1,16/06/2011
7.7,06/03/1996
7.1,12/03/2012
7.1,25/12/2003
5.1,11/06/2008
6.1,08/08/2012
6.5,10/03/1995
6.9,22/11/2010
4.7,30/06/2010
7.4,26/11/2002
7.4,17/10/1997
6.4,05/02/2009
6.6,02/08/2002
5.1,30/05/2013
6.4,30/07/2004
6.4,19/05/2000
6.6,04/02/2004
7.3,28/07/2017
6.3,21/07/2010
7.4,06/08/1993
5.5,12/01/2011
5.4,21/03/2003
7.3,26/02/1993
5.9,08/12/2000
6.1,28/07/1995
6.7,16/09/2015
6.2,08/12/2010
6.4,05/06/1998
6.6,09/03/2007
6.3,17/11/2017
7.1,12/11/2015
6.6,24/06/1994
6.6,10/09/1999
6.9,02/06/2001
5.8,28/04/2006
6.1,25/12/1997
6.7,12/07/2007
6,30/07/1999
5.8,30/06/2011
6.3,20/12/1996
5.9,19/03/2009
6.6,19/12/2007
7.1,27/11/1991
5.5,20/07/2006
6.3,08/04/2005
5.7,17/07/2001
5,22/11/1994
6.8,31/12/2008
6.2,26/03/2010
6.4,10/08/1990
6.2,02/10/2013
6.1,25/08/1989
6.2,05/04/2002
6.3,17/01/2008
7.5,15/09/1992
5.5,21/11/1990
5.3,21/01/1994
6.4,05/05/1995
5.4,09/05/1997
6.5,07/05/1993
6.2,17/02/1995
5.4,17/02/2006
5.4,02/02/1996
6.6,23/05/2016
6.8,15/01/1993
6.6,25/12/1991
6.9,15/03/2011
5.8,05/10/1990
5.4,09/09/1988
5.3,15/02/1991
5.8,10/09/2014
6.3,20/06/1991
6.8,16/02/1989
6.6,19/06/1997
6.2,25/04/1997
6.4,14/02/1986
6.1,12/01/1996
6.6,24/09/1999
6.6,25/12/1991
6.6,23/08/2002
5.9,03/10/1986
6.1,27/08/2010
6.4,22/12/1999
7.5,19/05/2007
5.5,25/04/1986
6.5,29/12/1995
6.1,11/03/1988
5.1,20/04/2012
5.1,01/09/1987
6,30/08/1996
6.6,12/02/1989
5.5,11/10/1992
6,11/09/1987
5.4,06/11/1987
6.7,19/12/1992
5.8,07/11/1986
0,02/11/2002
5.2,10/04/1987
