Rating,Date
8.7,14/03/1972
8.6,20/12/1974
8.3,14/02/1963
8,13/12/1973
8.2,05/02/1960
7.7,28/03/1963
8.1,03/10/1957
8,16/07/1954
7.5,10/03/1960
7.4,02/04/1968
6.7,21/08/1956
6.9,18/09/1969
7,06/10/1978
7.7,26/08/1953
7.2,07/12/1976
7.3,20/09/1952
8.1,06/10/1960
7.5,22/10/1965
7.3,15/03/1972
8.2,28/10/1959
7.2,26/10/1970
7,07/03/1967
7.3,06/07/1957
6.5,01/10/1978
6.3,16/05/1968
7,22/02/1962
6.7,24/12/1963
7.3,09/09/1955
6.2,06/06/1948
7.3,17/09/1958
6.8,26/10/1961
6.2,04/08/1948
8.1,23/02/1973
7,30/08/1970
7.3,01/04/1961
7,03/08/1949
6.2,01/10/1952
6.5,20/02/1970
7.3,23/09/1947
4.9,12/04/1979
7.1,04/12/1957
8.5,15/11/1953
5.3,04/10/1955
7.2,17/04/1951
0,06/11/1952
6.3,26/09/1951
8.8,02/11/1950
6,01/01/1957
0,05/03/1954
5.1,19/10/1955
5,17/12/1946
0,01/01/1953
7.6,17/03/1947
8,16/09/1949
0,12/01/1950
5.5,21/12/1962
0,18/04/1977
6.8,15/03/1969
6,06/02/1943
6,01/09/1950
7.5,09/09/1948
6.5,20/01/1954
5,26/10/1966
8,02/11/1962
0,22/08/1946
6,23/08/1954
0,08/09/1945
7.3,01/08/1948
5.5,14/03/1958
6.3,01/01/1933
5.6,01/01/1976
6,17/10/1948
9,30/10/1962
6.8,28/11/1946
6,09/12/1955
6,21/03/1957
0,06/06/1952
0,02/11/1950
5,18/01/1949
6,08/03/1944
0,01/01/1973
0,01/01/1947
0,13/02/1952
0,25/01/2019
0,17/12/1958
0,09/12/1953
0,02/12/2013
6.5,22/03/1954
0,06/03/1958
7.3,10/09/1948
0,10/01/1948
5,01/04/1944
0,23/11/1951
0,10/01/1952
0,23/09/1955
0,18/01/1947
0,16/01/1953
0,07/09/1946
6,28/09/1942
0,25/12/1949
6.3,15/12/1945
0,31/07/1961
