Rating,Date
7.5,25/07/2019
8.5,10/09/1994
8.1,25/12/2012
8.2,18/08/2009
8,10/10/2003
8.2,02/09/1992
7.9,16/04/2004
7.7,25/12/2015
7.4,01/04/2005
7,19/01/1996
7.9,28/03/2011
7.3,10/04/1997
6.8,21/05/2007
7.5,09/09/1993
6.6,06/04/2007
5.9,09/12/1995
4.6,16/03/1999
5.9,06/01/2006
7.1,25/08/1994
6.2,01/10/1993
5.7,08/06/2007
5.6,08/08/2008
4.7,30/10/1999
8.2,21/05/1995
5.1,25/09/2005
5.7,01/01/1987
7.5,01/06/1991
6,06/09/1996
0,14/10/2022
5.5,01/01/1991
6.3,27/10/1995
7.5,14/05/1998
0,08/10/1987
6.3,27/08/2019
0,05/09/2013
8.7,07/09/2006
